POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13110003;20190613;0,0;1;;;7,4;1;355;9;29,5;1;1429;9;19,9;1;18,45;1;6,4;9;;;0;9;22,1;1;18,5;1;;;;;1,9;1;13,3;1;120;1;2342;9;5,8;1;90;9;2256;9;;;;;;;;;12,5;1;120;1;2342;9;15;1;2003;9;100;1;425;9;851;9;353;9;8,2;1;;;48;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,7;9;;;;;;;;;;;;
13110003;20190614;0,0;1;;;18,8;1;109;9;30,0;1;1018;9;24,7;1;24,40;1;16,2;9;;;0;9;11,2;1;24,4;1;;;;;7,5;1;25,4;1;90;1;1609;9;14,1;1;90;1;1430;9;;;;;;;;;23,7;1;90;1;1609;9;22;1;32;9;86;1;0;9;1042;9;218;9;14,0;1;;;43;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,7;9;;;;;;;;;;;;
13110003;20190615;0,0;1;;;15,0;1;354;9;30,1;1;1327;9;22,0;1;22,55;1;13,5;9;;;0;9;15,1;1;22,6;1;;;;;2,0;1;10,3;1;320;1;1611;9;5,8;1;230;1;1231;9;;;;;;;;;9,7;1;320;1;1611;9;38;1;1440;9;99;1;407;9;26;9;555;9;16,5;1;;;69;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,4;9;;;;;;;;;;;;
13110003;20190616;0,0;1;;;10,9;1;403;9;31,8;1;1416;9;21,6;1;21,35;1;9,5;9;;;0;9;20,9;1;21,4;1;;;;;1,4;1;7,8;1;250;1;1653;9;4,3;1;260;1;1654;9;;;;;;;;;7,4;1;250;1;1653;9;26;1;1328;9;94;1;424;9;441;9;427;9;12,2;1;;;59;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,1;9;;;;;;;;;;;;
13110003;20190617;0,0;1;;;12,6;1;401;9;32,7;1;1251;9;23,0;1;22,65;1;11,2;9;;;0;9;20,1;1;22,7;1;;;;;1,5;1;9,2;1;250;1;1357;9;5,7;1;250;1;1406;9;;;;;;;;;8,7;1;250;1;1357;9;31;1;1210;9;96;1;412;9;347;9;465;9;14,7;1;;;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,1;9;;;;;;;;;;;;
13110003;20190618;0,0;1;;;12,9;1;414;9;33,4;1;1035;9;23,0;1;23,15;1;11,3;9;;;0;9;20,5;1;23,2;1;;;;;1,8;1;10,4;1;240;1;1129;9;6,1;1;240;1;1145;9;;;;;;;;;9,8;1;240;1;1129;9;20;1;1204;9;96;1;432;9;646;9;325;9;12,3;1;;;52;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,2;9;;;;;;;;;;;;
13110003;20190619;0,0;1;;;11,3;1;348;9;31,6;1;1309;9;22,1;1;21,45;1;10,0;9;;;0;9;20,3;1;21,5;1;;;;;1,9;1;9,6;1;240;1;1505;9;5,9;1;240;1;1505;9;;;;;;;;;9,1;1;240;1;1505;9;18;1;1434;9;86;1;349;9;705;9;188;9;9,9;1;;;47;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,1;9;;;;;;;;;;;;
13110003;20190620;0,0;1;;;10,8;1;405;9;32,6;1;1246;9;22,3;1;21,70;1;9,3;9;;;0;9;21,8;1;21,7;1;;;;;1,6;1;8,4;1;220;1;1826;9;4,6;1;250;1;1307;9;;;;;;;;;7,9;1;220;1;1826;9;23;1;1125;9;87;1;328;9;465;9;303;9;11,3;1;;;57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,8;9;;;;;;;;;;;;
13110003;20190621;0,0;1;;;15,5;1;359;9;32,1;1;1205;9;23,0;1;23,80;1;13,9;9;;;0;9;16,6;1;23,8;1;;;;;1,7;1;12,2;1;250;1;1313;9;6,8;1;240;1;1322;9;;;;;;;;;11,5;1;250;1;1313;9;39;1;1200;9;93;1;413;9;21;9;432;9;17,5;1;;;65;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,6;9;;;;;;;;;;;;
13110003;20190622;0,0;1;;;15,3;1;356;9;31,3;1;1321;9;22,9;1;23,30;1;14,0;9;;;0;9;16,0;1;23,3;1;;;;;2,0;1;10,0;1;210;1;1424;9;5,6;1;230;1;1354;9;;;;;;;;;9,4;1;210;1;1424;9;33;1;1115;9;96;1;408;9;252;9;384;9;15,9;1;;;62;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,6;9;;;;;;;;;;;;
13110003;20190623;0,0;1;;;13,0;1;402;9;34,0;1;1437;9;23,5;1;23,50;1;11,4;9;;;0;9;21,0;1;23,5;1;;;;;1,5;1;6,8;1;230;1;1732;9;4,3;1;220;1;1724;9;;;;;;;;;6,4;1;230;1;1732;9;24;1;1440;9;96;1;352;9;507;9;481;9;13,6;1;;;60;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,9;9;;;;;;;;;;;;
13110003;20190624;0,0;1;;;13,4;1;359;9;33,9;1;1447;9;25,2;1;23,65;1;12,2;9;;;0;9;20,5;1;23,7;1;;;;;1,7;1;9,1;1;70;1;1352;9;5,3;1;90;1;1538;9;;;;;;;;;8,6;1;70;1;1352;9;20;1;1548;9;98;1;416;9;722;9;346;9;12,8;1;;;52;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,7;9;;;;;;;;;;;;
13110003;20190625;0,0;1;;;18,2;1;407;9;35,2;1;1455;9;27,8;1;26,70;1;16,2;9;;;0;9;17,0;1;26,7;1;;;;;2,6;1;11,9;1;120;1;948;9;5,8;1;80;1;1412;9;;;;;;;;;11,2;1;120;1;948;9;27;1;1425;9;70;1;442;9;731;9;0;9;15,0;1;;;46;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,4;9;;;;;;;;;;;;
13110003;20190626;0,0;1;;;19,3;1;309;9;40,4;1;1453;9;29,4;1;29,85;1;17,5;9;;;0;9;21,1;1;29,9;1;;;;;1,6;1;7,9;1;70;1;626;9;4,6;1;220;1;1659;9;;;;;;;;;7,5;1;70;1;626;9;25;1;1408;9;77;1;311;9;647;9;0;9;18,0;1;;;49;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,0;9;;;;;;;;;;;;
13110003;20190627;0,0;1;;;19,3;1;409;9;40,8;1;1247;9;30,3;1;30,05;1;17,9;9;;;0;9;21,5;1;30,1;1;;;;;1,5;1;8,7;1;250;1;1334;9;5,3;1;220;1;1424;9;;;;;;;;;8,2;1;250;1;1334;9;23;1;1153;9;82;1;423;9;645;9;82;9;18,0;1;;;47;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,4;9;;;;;;;;;;;;
13110003;20190628;0,0;1;;;19,4;1;409;9;44,0;1;1223;9;31,8;1;31,70;1;18,1;9;;;0;9;24,6;1;31,7;1;;;;;1,7;1;10,5;1;210;1;1533;9;5,7;1;230;1;1518;9;;;;;;;;;9,9;1;210;1;1533;9;15;1;1218;9;71;1;436;9;670;9;0;9;14,8;1;;;45;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,9;9;;;;;;;;;;;;
13110003;20190629;0,0;1;;;21,7;1;323;9;35,5;1;1338;9;29,8;1;28,60;1;20,1;9;;;0;9;13,8;1;28,6;1;;;;;2,7;1;14,1;1;100;1;731;9;7,3;1;100;1;735;9;;;;;;;;;13,3;1;100;1;731;9;36;1;1430;9;78;1;330;9;87;9;0;9;20,5;1;;;54;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,8;9;;;;;;;;;;;;
13110003;20190630;0,0;1;;;21,0;1;356;9;37,0;1;1243;9;29,4;1;29,00;1;20,0;9;;;0;9;16,0;1;29,0;1;;;;;1,8;1;8,5;1;50;1;1313;9;4,4;1;60;1;1317;9;;;;;;;;;8,0;1;50;1;1313;9;32;1;1111;9;86;1;421;9;610;9;127;9;20,7;1;;;51;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,7;9;;;;;;;;;;;;
13110003;20190701;0,0;1;;;18,9;1;335;9;37,3;1;1205;9;27,7;1;28,10;1;17,8;9;;;0;9;18,4;1;28,1;1;;;;;2,0;1;9,6;1;230;1;1433;9;5,8;1;240;1;1440;9;;;;;;;;;9,1;1;230;1;1433;9;26;1;1141;9;92;1;2345;9;581;9;86;9;18,3;1;;;52;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,9;9;;;;;;;;;;;;
13110003;20190702;0,0;1;;;18,0;1;356;9;37,6;1;1205;9;27,4;1;27,80;1;16,7;9;;;0;9;19,6;1;27,8;1;;;;;1,8;1;9,8;1;250;1;1315;9;5,5;1;250;1;1316;9;;;;;;;;;9,3;1;250;1;1315;9;28;1;1113;9;94;1;33;9;403;9;333;9;18,8;1;;;59;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,5;9;;;;;;;;;;;;
13110003;20190703;23,1;1;;;17,3;1;415;9;36,1;1;1441;9;25,0;1;26,70;1;16,2;9;;;0;9;18,8;1;26,7;1;;;;;1,7;1;13,4;1;40;1;1728;9;6,9;1;40;1;1710;9;;;;;;;;;12,6;1;40;1;1728;9;28;1;1151;9;96;1;1845;9;327;9;493;9;17,8;1;;;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,2;9;;;;;;;;;;;;
13110003;20190704;0,0;1;;;16,3;1;351;9;34,6;1;1422;9;25,9;1;25,45;1;15,7;9;;;0;9;18,3;1;25,5;1;;;;;1,7;1;9,2;1;250;1;1344;9;5,0;1;220;1;1541;9;;;;;;;;;8,7;1;250;1;1344;9;31;1;1110;9;97;1;422;9;105;9;572;9;17,5;1;;;68;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,0;9;;;;;;;;;;;;
13110003;20190705;0,2;1;;;18,0;1;344;9;36,1;1;1141;9;26,7;1;27,05;1;17,5;9;;;0;9;18,1;1;27,1;1;;;;;1,7;1;10,4;1;310;1;1332;9;5,4;1;220;1;1451;9;;;;;;;;;9,8;1;310;1;1332;9;26;1;1549;9;98;1;359;9;476;9;460;9;17,9;1;;;61;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,5;9;;;;;;;;;;;;
13110003;20190706;1,2;1;;;15,9;1;350;9;35,5;1;1348;9;26,2;1;25,70;1;15,4;9;;;0;9;19,6;1;25,7;1;;;;;1,9;1;8,5;1;220;1;1508;9;5,5;1;240;1;1510;9;;;;;;;;;8,0;1;220;1;1508;9;36;1;1334;9;98;1;430;9;196;9;511;9;19,3;1;;;66;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,3;9;;;;;;;;;;;;
