date_a,date_b,gcs,avg_lcs,pearson_r,pearson_p,kendall_tau,kendall_p
2019-06-14,2019-06-15 00:00:00,-0.4945,-0.5487,-0.4945,0.003,-0.3854,0.0014
2019-06-15,2019-06-16 00:00:00,-0.391,-0.108,-0.391,0.0222,-0.1589,0.1869
2019-06-16,2019-06-17 00:00:00,-0.5105,-0.4304,-0.5105,0.002,-0.3411,0.0046
2019-06-17,2019-06-18 00:00:00,-0.457,-0.5798,-0.457,0.0066,-0.3568,0.003
2019-06-18,2019-06-19 00:00:00,-0.7205,-0.5951,-0.7205,0.0,-0.5223,0.0
2019-06-19,2019-06-20 00:00:00,-0.091,-0.097,-0.091,0.6087,0.0374,0.7556
2019-06-20,2019-06-21 00:00:00,-0.7347,-0.7705,-0.7347,0.0,-0.4353,0.0003
2019-06-21,2019-06-22 00:00:00,-0.7278,-0.5141,-0.7278,0.0,-0.339,0.0048
2019-06-22,2019-06-23 00:00:00,-0.5135,-0.3992,-0.5135,0.0019,-0.2834,0.0184
2019-06-23,2019-06-24 00:00:00,-0.4657,-0.3867,-0.4657,0.0055,-0.2763,0.0216
2019-06-24,2019-06-25 00:00:00,-0.5598,-0.4874,-0.5598,0.0006,-0.2727,0.0233
2019-06-25,2019-06-26 00:00:00,-0.2339,-0.2418,-0.2339,0.1831,-0.2406,0.0454
2019-06-26,2019-06-27 00:00:00,-0.6339,-0.5188,-0.6339,0.0001,-0.2727,0.0233
2019-06-27,2019-06-28 00:00:00,-0.5492,-0.5949,-0.5492,0.0008,-0.4296,0.0004
2019-06-28,2019-06-29 00:00:00,-0.6474,-0.343,-0.6474,0.0,-0.287,0.017
2019-06-29,2019-06-30 00:00:00,-0.7251,-0.3942,-0.7251,0.0,-0.5187,0.0
2019-06-30,2019-07-01 00:00:00,-0.8067,-0.8243,-0.8067,0.0,-0.6043,0.0
2019-07-01,2019-07-02 00:00:00,-0.0555,-0.0985,-0.0555,0.7553,-0.1249,0.2994
2019-07-02,2019-07-03 00:00:00,-0.6785,-0.6393,-0.6785,0.0,-0.4554,0.0002
2019-07-03,2019-07-04 00:00:00,-0.595,-0.6132,-0.595,0.0002,-0.3393,0.0048
2019-07-04,2019-07-05 00:00:00,0.2312,-0.174,0.2312,0.1883,-0.0929,0.4407
2019-07-05,2019-07-06 00:00:00,-0.6374,-0.4989,-0.6374,0.0001,-0.2962,0.0139
2019-07-06,2019-07-07 00:00:00,-0.332,-0.4099,-0.332,0.0551,-0.3711,0.002
2019-07-07,2019-07-08 00:00:00,-0.503,-0.4922,-0.503,0.0024,-0.3911,0.0012
2019-07-08,2019-07-09 00:00:00,-0.4306,-0.2968,-0.4306,0.011,-0.1641,0.1726
2019-07-09,2019-07-10 00:00:00,-0.3531,-0.1549,-0.3531,0.0405,-0.1194,0.3206
2019-06-14,reference (full period),0.417,0.4626,0.417,0.0141,0.3619,0.0026
2019-06-15,reference (full period),0.132,-0.0271,0.132,0.4568,0.0928,0.4407
2019-06-16,reference (full period),0.2651,0.1146,0.2651,0.1298,0.0856,0.4767
2019-06-17,reference (full period),-0.4398,-0.2601,-0.4398,0.0092,-0.1213,0.3134
2019-06-18,reference (full period),-0.0434,0.0007,-0.0434,0.8076,-0.1373,0.2537
2019-06-19,reference (full period),0.2742,0.2583,0.2742,0.1166,0.2014,0.0939
2019-06-20,reference (full period),0.1903,-0.0731,0.1903,0.2809,0.0588,0.6247
2019-06-21,reference (full period),-0.2761,0.0874,-0.2761,0.114,0.0178,0.8821
2019-06-22,reference (full period),0.08,-0.1868,0.08,0.6528,-0.1373,0.2537
2019-06-23,reference (full period),-0.1537,-0.0033,-0.1537,0.3856,-0.1301,0.2792
2019-06-24,reference (full period),0.0153,0.0872,0.0153,0.9315,0.1052,0.3818
2019-06-25,reference (full period),0.0625,0.0449,0.0625,0.7256,-0.0553,0.6458
2019-06-26,reference (full period),-0.1279,-0.0381,-0.1279,0.4709,-0.0553,0.6458
2019-06-27,reference (full period),0.1571,0.2271,0.1571,0.3748,0.0909,0.4496
2019-06-28,reference (full period),-0.0241,-0.0625,-0.0241,0.8924,0.0588,0.6247
2019-06-29,reference (full period),0.0975,0.3237,0.0975,0.5832,0.1052,0.3818
2019-06-30,reference (full period),-0.0518,0.078,-0.0518,0.7712,-0.0517,0.6673
2019-07-01,reference (full period),0.1063,-0.0311,0.1063,0.5495,0.098,0.4149
2019-07-02,reference (full period),-0.1461,-0.0257,-0.1461,0.4095,-0.0214,0.8588
2019-07-03,reference (full period),-0.108,0.0464,-0.108,0.5434,0.0357,0.7668
2019-07-04,reference (full period),0.1826,0.0604,0.1826,0.3014,0.0107,0.9291
2019-07-05,reference (full period),-0.0402,-0.1041,-0.0402,0.8215,-0.0393,0.7443
2019-07-06,reference (full period),0.1955,0.2633,0.1955,0.2677,0.1622,0.1773
2019-07-07,reference (full period),-0.2694,-0.0817,-0.2694,0.1234,-0.0963,0.4234
2019-07-08,reference (full period),0.0332,-0.1241,0.0332,0.8523,0.0036,0.9763
2019-07-09,reference (full period),0.2038,0.4064,0.2038,0.2477,0.3191,0.008
2019-07-10,reference (full period),0.4757,0.5644,0.4757,0.0045,0.3333,0.0056
