,structure,density,fitted_model,rmse
0,ER,0.1,correctly_specified,1.3900806710157225
1,ER,0.1,covariates_no_interaction,1.4969486062135644
2,ER,0.1,no_covariates_fitted,1.7137164830211953
3,ER,0.4,correctly_specified,1.257756538422187
4,ER,0.4,covariates_no_interaction,1.2920872493078017
5,ER,0.4,no_covariates_fitted,1.4740227351220963
6,RDP,0.1,correctly_specified,1.5523480207667029
7,RDP,0.1,covariates_no_interaction,1.7812016796838415
8,RDP,0.1,no_covariates_fitted,1.9678081484549326
9,RDP,0.4,correctly_specified,1.2713219964197007
10,RDP,0.4,covariates_no_interaction,1.2986031535603035
11,RDP,0.4,no_covariates_fitted,1.4467051258913952
12,SBM,0.1,correctly_specified,1.5093461608517238
13,SBM,0.1,covariates_no_interaction,1.6357129604460203
14,SBM,0.1,no_covariates_fitted,2.05103995505246
15,SBM,0.4,correctly_specified,1.2776408166111097
16,SBM,0.4,covariates_no_interaction,1.310232879324378
17,SBM,0.4,no_covariates_fitted,1.4290406590564309
