covariate_config,L,r,mean_MAE,mean_RMSE,std_MAE,std_RMSE,n_covariates
age_diff_mean_age_temp_same_sex_with_interaction,6,2,18.8045,25.5801,5.03,6.5357,5
age_diff_mean_age_temp_with_interaction,6,2,18.667,25.5958,4.8795,6.5253,4
age_diff_same_sex,6,0,18.8029,25.6257,5.1222,6.608,2
age_diff_mean_age_temp_same_sex_no_interaction,6,0,18.8079,25.6497,5.1059,6.637,4
age_diff_temp,6,0,18.7053,25.6571,4.9333,6.6039,2
mean_age_temp_same_sex,6,0,18.8041,25.6577,5.1091,6.6539,3
age_diff_mean_age_temp_no_interaction,6,0,18.7033,25.6629,4.9405,6.6188,3
age_diff_mean_age_same_sex,6,0,18.8102,25.6715,5.1416,6.6771,3
age_diff_mean_age,6,0,18.714,25.6717,4.9514,6.6332,2
mean_age_same_sex,6,0,18.8038,25.6855,5.1517,6.7054,2
age_diff_temp_same_sex,6,0,18.8345,25.6917,5.1865,6.7214,3
age_diff_only,6,0,18.7069,25.6945,4.961,6.665,1
mean_age_temp,6,0,18.7373,25.6959,4.9701,6.6646,2
mean_age_only,6,0,18.755,25.7144,4.9911,6.6982,1
no_covariates,6,0,18.7692,25.7157,4.9943,6.7007,0
temp_only,6,0,18.7692,25.7157,4.9943,6.7007,1
same_sex_only,6,0,18.8757,25.7332,5.1335,6.7525,1
temp_same_sex,6,0,18.8439,25.7601,5.2177,6.8369,2
