covariate_config,L,r,mean_MAE,mean_RMSE,std_MAE,std_RMSE,n_covariates
age_diff_mean_age_temp_same_sex_with_interaction,6,2,18.8045,25.5801,5.03,6.5357,5
age_diff_mean_age_temp_with_interaction,6,2,18.667,25.5958,4.8795,6.5253,4
age_diff_same_sex,6,2,19.1785,25.9998,5.1393,6.7204,2
age_diff_mean_age_same_sex,6,2,19.2165,26.0519,5.1217,6.7863,3
mean_age_same_sex,6,2,19.2153,26.0565,5.137,6.8078,2
age_diff_mean_age,6,2,19.1173,26.0856,5.0828,6.7735,2
age_diff_only,6,2,19.1241,26.1068,5.0796,6.8055,1
mean_age_only,6,2,19.1581,26.1248,5.1148,6.836,1
no_covariates,6,2,19.1629,26.125,5.1175,6.8377,0
same_sex_only,6,2,19.2741,26.1282,5.2585,6.8856,1
mean_age_temp_same_sex,6,2,19.3483,26.166,5.111,6.9365,3
age_diff_mean_age_temp_same_sex_no_interaction,6,2,19.3553,26.1692,5.1112,6.9342,4
age_diff_temp,6,2,19.2084,26.1914,5.0849,6.9146,2
age_diff_mean_age_temp_no_interaction,6,2,19.2314,26.2023,5.1119,6.9316,3
age_diff_temp_same_sex,6,2,19.339,26.2035,5.2219,7.0339,3
mean_age_temp,6,2,19.2579,26.2301,5.1247,6.9673,2
temp_only,6,2,19.2502,26.2375,5.1286,6.9834,1
temp_same_sex,6,2,19.361,26.2624,5.2805,7.1247,2
