L,r,Best_config,Best_RMSE,Worst_config,Worst_RMSE,RMSE_gap
1,0,age_diff_mean_age,27.9198,mean_age_temp_same_sex,28.041,0.1211
1,1,age_diff_mean_age,27.8997,mean_age_temp_same_sex,28.0211,0.1214
1,2,age_diff_mean_age,27.916,mean_age_temp_same_sex,28.0386,0.1226
2,0,age_diff_same_sex,26.5776,mean_age_temp,26.629,0.0514
2,1,age_diff_same_sex,26.5451,mean_age_temp,26.5974,0.0523
2,2,age_diff_same_sex,26.534,mean_age_temp,26.5862,0.0523
3,0,age_diff_same_sex,26.1601,mean_age_temp_same_sex,26.1967,0.0366
3,1,age_diff_mean_age_temp_with_interaction,26.149,mean_age_temp_same_sex,26.2067,0.0577
3,2,age_diff_same_sex,26.0079,age_diff_mean_age_temp_same_sex_with_interaction,26.1512,0.1433
4,0,age_diff_temp,26.4544,temp_same_sex,26.5516,0.0972
4,1,age_diff_mean_age_temp_with_interaction,26.4113,temp_same_sex,26.5813,0.17
4,2,age_diff_same_sex,26.3685,temp_same_sex,26.6372,0.2686
5,0,age_diff_mean_age_temp_same_sex_with_interaction,25.73,temp_same_sex,25.8687,0.1388
5,1,age_diff_mean_age_temp_same_sex_with_interaction,25.7027,temp_same_sex,25.9711,0.2684
5,2,age_diff_mean_age_temp_same_sex_with_interaction,25.697,temp_same_sex,26.0129,0.3159
6,0,age_diff_same_sex,25.6257,temp_same_sex,25.7601,0.1344
6,1,age_diff_mean_age_temp_same_sex_with_interaction,25.5852,temp_same_sex,26.1764,0.5913
6,2,age_diff_mean_age_temp_same_sex_with_interaction,25.5801,temp_same_sex,26.2624,0.6823
7,0,age_diff_mean_age_temp_with_interaction,26.3369,temp_same_sex,26.4827,0.1458
7,1,age_diff_mean_age_temp_with_interaction,26.5119,temp_same_sex,27.0688,0.5568
7,2,age_diff_mean_age_temp_with_interaction,26.4916,temp_same_sex,27.1613,0.6697
8,0,age_diff_mean_age_temp_same_sex_with_interaction,26.4564,temp_same_sex,26.5776,0.1212
8,1,age_diff_mean_age_temp_same_sex_with_interaction,26.539,temp_same_sex,27.1342,0.5953
8,2,age_diff_mean_age_temp_same_sex_with_interaction,26.6053,temp_same_sex,27.2992,0.694
