parameter,Estimated,95% CI,Coverage
$\alpha_{1}$,-0.7737493872642517,"(-0.844, -0.703)",98%
$\alpha_{2}$,-0.5630639863014221,"(-0.648, -0.478)",98%
$\alpha_{3}$,-0.41547318994998933,"(-0.503, -0.328)",96%
$\alpha_{4}$,-0.3730884426832199,"(-0.458, -0.288)",96%
$\alpha_{5}$,-0.2659493464231491,"(-0.347, -0.185)",98%
$\alpha_{6}$,-0.1487457473576069,"(-0.219, -0.079)",96%
"$\beta_{1,1}$",0.03904451641952619,"(-0.226, 0.304)",90%
"$\beta_{1,2}$",-0.02455049850512296,"(-0.391, 0.342)",96%
"$\beta_{2,1}$",-0.07343338272534311,"(-0.390, 0.243)",96%
"$\beta_{2,2}$",0.009668195890262722,"(-0.430, 0.450)",96%
"$\beta_{3,1}$",0.002570380931138061,"(-0.327, 0.332)",96%
"$\beta_{3,2}$",-0.031008553795400077,"(-0.494, 0.432)",98%
"$\beta_{4,1}$",-0.06286625225096941,"(-0.385, 0.259)",94%
"$\beta_{4,2}$",0.02375472292304039,"(-0.428, 0.476)",94%
"$\beta_{5,1}$",-0.030760970381088555,"(-0.338, 0.276)",92%
"$\beta_{5,2}$",0.00029773643240332603,"(-0.430, 0.431)",96%
"$\beta_{6,1}$",-0.012433310183696448,"(-0.278, 0.253)",92%
"$\beta_{6,2}$",-0.04691268809139729,"(-0.418, 0.324)",96%
Age Diff,-0.00016395447217027614,"(-0.018, 0.018)",94%
Mean Age,0.002907908868944952,"(-0.062, 0.068)",94%
Same Sex,0.0034267119508860715,"(-0.148, 0.154)",100%
Max Temp,-6.134428545650296e-05,"(-0.013, 0.013)",98%
Mean Age $\times$ Max Temp,-0.00011281784986857233,"(-0.002, 0.002)",96%
