L,r,mean_MAE,mean_RMSE,std_MAE,std_RMSE,min_n_train_samples,status
1,0,26.86191973912988,39.28481020282085,8.95475801924211,14.178183022316606,15,ok
1,1,26.86243679209491,39.09124050947652,8.847590682648596,14.202256062010804,15,ok
1,2,26.86784610845329,39.106328935937995,8.852348607551546,14.22126631403715,15,ok
2,0,27.06139982868283,39.12700327627859,9.085803779271357,14.040988733641553,14,ok
2,1,27.250465696811215,39.223257998145314,9.038168594770944,13.983534636231095,14,ok
2,2,27.25322715856268,39.237841317036356,9.02249556591299,13.984387139258011,14,ok
3,0,27.050655274787893,39.11206020716978,8.532000779358075,13.660241057799379,13,ok
3,1,27.435105328574885,39.30643574713584,8.698068564923888,13.80794715640271,13,ok
3,2,27.429565494023336,39.327158766663175,8.690890235536383,13.827991982408083,13,ok
4,0,27.14476430355228,39.16882599859154,8.404869075660685,13.435980743502945,12,ok
4,1,27.56417228251641,39.47697847007233,8.95407504436843,13.811070613403187,12,ok
4,2,27.56667298467883,39.506894430435295,8.960967817782581,13.849974705381378,12,ok
5,0,27.15286348154374,39.31738985832344,8.566575518268921,13.638346086592874,11,ok
5,1,27.522757556114545,39.68545555456194,9.405063165662895,14.251872849683142,11,ok
5,2,27.513340266446686,39.718226700568565,9.421874794252039,14.302528905270568,11,ok
6,0,27.53160064975927,39.42982393736613,8.905102501801315,13.952561256627723,10,ok
6,1,28.170598318492676,39.80393171851411,9.62708182651279,14.382575497205016,10,ok
6,2,28.15324591992559,39.836521607734575,9.667211997690142,14.475693489535871,10,ok
